,Killed,Wounded,Women/Children Killed,Housing Units Destroyed,Housing Units Damaged,Hospitals Destroyed
Amount,"34,183","77,084","24,611","90,000","300,000",26
As Of Date,4-23-2024,4-23-2024,4-23-2024,4-23-2024,4-23-2024,4-23-2024
